開始時間 - 秒.ミリ秒	終了時間 - 秒.ミリ秒	発話　カナ表記	発話　音調付き音素表記	共通語訳	注
165.31	169.32	タシカ　モッタナッチェ　ウエデ　ター　{笑}	tasi[ka] moQ[ta][[na]Qcje uede taa {笑}	「確か［に］　持ったな。」と　上で　／／　{笑}	タシカ：深沢實氏の教示によれば「タシカ」の形で副詞として使うのが一般的なわけではない。
169.645	171.655	モツニ　キマッテルダ。	mo[tu]ni kimaQte[ru]da.	「持つに　決まっているよ。	キマッテルダ：ここでは「決まっているんだ」と訳すと不自然。現在の話者はこのような「もちろん～」という場合に使われる「用言＋ダイ」があり、それと同様の用法の「用言＋ダ」とみなした。
171.815	174.387	モッタ　モッタチテ　ホードーデ　オショーニンワ	moQ[ta] moQ[ta]cite hoo[do]ode [o]sjooniɴwa	持った　持った」と言って　それだから　お上人は	
174.575	177.875	ウエカラ　コレオ　ハナイトーッチェドー。　シタワ　コレオ　#{モットーデ}。	[uekara] koreo hana[i]tooQcjedoo. si[ta]wa koreo #{[mo]Qtoode}.	上から　これを　離したそうだ。下は　これを　#{持ったから}。	シタワ～モットーデ：お上人はそう思っていたということだと思われる。
178.615	185.153	ハナイタイバ　ブーント　シタエ　オチテ　パーット　ツバー　ワレテ	[ha]na[i]taiba buu[ɴ]to si[ta]e oci[te [paa]Qto [tu]baa warete	離したら　ブーンと　下へ　落ちて　パーット　壺は　割れて	
185.885	190.845	ナンノ　タメニ　モットーッチェ　イットージャー　ナイカ。　ソイデ　オリャー	na[ɴ]no tameni moQ[to]oQcje iQto[o]zjaa na[i]ka. [so]ide orjaa	何の　ために　持ったと　言ったじゃ　ないか。それで　私は	
191.805	195.967	ソコー　テオ　ハナイトーダヨ　ダゾッチェ　オショーニンカ゜　オコッタイバ	[so]koo te[o] hana[i]toodajo [da]zoQcje [o]sjooniɴŋa okoQ[tai]ba	そこを　手を　離したんだよ　だぞって　お上人が　怒ったら	ダゾッチェ：一度「ダヨ」と言ったのを「ダゾ」と言い直している。
196.79	202.18	ウラマーリャー　サッ　ハジメッカラ　シリオバ　モッテールヨッテ	[u]ra[ma]arjaa [saQ [ha]zi[me]Qkara [si]ri[o]ba moQ[te]erujoQte	私なんて　（サッ）　初めから　尻を　持っているよ」と	
202.395	205.973	テマイノ　シリョー　コー　シテ　モッテ	[te]maino sirjo[o] koo site moQ[te	自分の　尻を　こう　して　持って	
206.193	210.273	アカク　ナッテ　シマットー。　モットーッチェ　#{ソイデ}　{笑}	[a]kaku naQ[te] simaQto[o]. moQ[to]oQcje #{soide} {笑}	赤く　なって　しまった。持ったって　#{それで} {笑}	
210.547	212.293	シリョー　{笑}	[si]rjoo {笑}	尻を　{笑}	
213.375	217.855	オメーノ　シリノ　コンジャー　ナイドーワ。　ツボノ　シリダットードー。	omeeno [si]rino koɴ[zja]a na[i]doowa. [tu]bono siri[da]Qtoodoo.	「お前の　尻の　ことじゃ　ないんだよ。　壺の　尻だったんだ。」	オメー：奈良田の言葉として一般的な2人称ではない。
218.835	224.473	ソーシテ　アマザケワ　ソックリ　パーット　オシマイニ　ナッ#{テ}　#{シタイバ}　オショーニンカ゜　コンダ	[soo]site [a]mazake[wa] soQku[ri] paaQto [o]simaini naQ#{te} #{sitaiba} [o]sjooniɴŋa koɴ[da	そして　甘酒は　そっくり　パーッと　おしまいに　なっ#{て} #{すると}　お上人が　今度は 	
225.04	231.63	マー。　オレカ゜　イママデ　クレノードーデ　ワリャー　ソーユー　コトー　カンカ゜エトーダットーダナ。	ma[a. [o]reŋa [i]mama[de] kurenoodoo[de] warja[a] soojuu koto[o] kaɴŋa[e]toodaQ[to]oda[na.	「まあ。私が　今まで　やらないので　お前は　そういう　ことを　考えたのだったのだな。　	
231.985	236.9	ワルカッタ。　ワルカッタ。　イマッカラー　ワレニモ	[waru]kaQ[ta. [waru]kaQ[ta. i[ma]Qkara[a] wareni[mo	悪かった。悪かった。今から　お前にも	
237.24	243.727	チャント　ワケルデナッチェ　コンダ　ソレッカラー　ソリョー　ゾデ　アレドーッチェドーヨ	[cjaɴ]to wake[ru]de[na]Qcje koɴ[da [so]reQkaraa [so]rjoo zo[de] are[do]oQcjedoo[jo	ちゃんと　分けるからな」と　今度は　それからは　それを　きっかけにして　あれだよ	ソリョー　ゾデ：「それをきっかけに」の意。「ソリョー　ゾニ」とも言う。（深沢實氏の教示による）
243.867	247.753	ホージニ　イッテ　キテモ　タトエ　ヒトキレデモ	[ho]ozini iQte kite[mo [ta]toe hito[ki]rede[mo	法事に　行って　来ても　たとえ　一切れでも　	
248.187	251.66	モチョーモ　クレタリ　オダンコ゜ーモ　クレタリ	[mo]cjoo[mo] kureta[ri] odaɴŋoo[mo] kureta[ri]	餅をも　やったり　お団子をも　やったり	
251.973	255.64	ソレッカラー　オコゾーモ　ウケテ　クットーチュー　ハナシ。	[so]reQkara[a] okozoomo u[ke]te kuQ[to]ocjuu hana[si.	それからは　お小僧も　もらって　食べたという　話。	
255.78	256.887	ソレデ　ヒッチマイ。	[so]rede hiQcimai.	それで　おしまい。	
