開始時間 - 秒.ミリ秒	終了時間 - 秒.ミリ秒	発話 音調符号付音素表記	発話 音調符号付音素表記	共通語訳	注	『秘境奈良田』原文	『秘境奈良田』原注
148.96	150.293	[ち]て　いっと[ー]どーで	[ci]te iQto[o]doode	と　言ったので、		ちて、言うどーで、	
151.266	154.306	[そ]の　と[ー]りに　して　[と]のさまに　み[せ]たいば	[so]no to[o]rini site [to]nosamani mi[se]taiba	その　通りに　して　殿様に　見せると、		その通りにして殿様に見せたいば、	たいば：「たれば」バは用語（入力者注：ママ）や助動詞の仮定形に接続する。
154.773	158.166	[こ]りゃー　いったい　だ[れ]か゜　かんか゜[い]とーか。	[ko]rjaa iQtai da[re]ŋa kaɴŋa[i]tooka.	「これは　いったい　誰が　考えたのか。		「こりゃーいったいだれが考いついとーか	
159.046	160.566	[い]ってみ[ろ]ちゅーど[ー]で	[i]Qtemi[ro]cjuudo[o]de	言ってみろ」と言うので、		言ってみろ」ちゅーどーで、	
160.966	166.46	と[ー]とー　かくし[き]れーで　ばん[ば]ー　かく[い]とー　おいと[ー]　こと[ー]　はく[じょ]ーした[い]ば	to[o]too kakusi[ki]reede baɴ[ba]a kaku[i]too oito[o] koto[o] haku[zjo]osita[i]ba	とうとう　隠しきれずに　お婆さんを　隠した　おいた　ことを　白状すると、	kaku[i]too oito[o]：kaku[i]teoito[o] 「隠しておいた」と言おうとして言い間違ったもの。	とーとーかくしきれーで、ばんばーかくいておいとーことー白状したいば	
167.033	167.893	そー[か。	soo[ka.	「そうか。		「そうか	
168.399	172.36	[と]しよりゃ[ー　[そ]か゜ーに　[り]こーの　もの[だ]っとーか。	[to]sijorja[a [so]ŋaani [ri]koono mono[da]Qtooka.	年寄りは　そんなに　利口な　者だったのか。		年寄りはそがーに利口のものだっとーか、	そがーに：そのように。
172.846	179.093	[そ]れじゃ[ー　[こ]れっから[ー]　としより[お]　やま[い]　すてでー[て]　だいじ[に]　してやれちて	[so]rezja[a [ko]reQkara[a] tosijori[o] jama[i] sutedee[te] daizi[ni] sitejarecite	それでは　これからは　年寄りを　山に　捨てずに　大事に　してやれ」と		それじゃーこれっからー、外寄りを山い捨てでーて、だいじにしてやれ」ちて、	
179.646	181.906	[と]のさまから　[ゆ]るさ[れ]とーどーで	[to]nosamakara [ju]rusa[re]toodoode	殿様から　許されたので		殿様から許されとーどーで、	
182.766	187.513	[い]まか゜　よま[で]　としより[お]　だいじ[に]　するよ[ー]に　なっ[と]ーだけ゜[の]ー[よ。	[i]maŋa joma[de] tosijori[o] daizi[ni] surujo[o]ni naQ[to]odaŋe[no]o[jo.	今の　世まで　年寄りを　大事に　するように　なったのだそうだよ。		今が世まで年寄りお、だいじにするようになっとーだげのーよ。	
188.122	189.315	これで　ひっ[ち]まい。	korede hiQ[ci]mai.	これで　おしまい。		これでひっちまい。	
