開始時間 - 秒.ミリ秒	終了時間 - 秒.ミリ秒	発話　カナ表記	発話　音調付き音素表記	共通語訳	注
71.84	75.78	イキョー　ハーアッチテ　イテ　アノ　フッカケトードーッチェ。	i[kjo]o haa[a]Qcite ite ano huQ[ka]ketoodooQcje.	息を　ハーーッって　（イテ）　あの　吹きかけたのだって。	
76.96	82.06	ソーシタイバ　クチン　ナカイ　ヒッパイットー　ソノ　ヒヨンドリカ゜。	[so]osita[i]ba [ku]ciɴ na[ka]i [hi]Qpa[i]Qtoo sono [hi]joɴdoriŋa.	そうしたら　口の　中に　入った　その　ひよどりが。	ヒッパイットー：ヒッパイル hiQpair-u の過去形。ヒッ hiQ は「引き」由来の接頭辞。
83.32	87.787	サー　コマリダ。　ココイ　コー　サカ゜ッテ　イクカ゜　ワカットー。	sa[a] komari[da. [ko]koi ko[o] saŋaQ[te] iku[ŋa] wakaQ[to]o.	さあ　困ったことだ。ここに　こう　下がって　行くのが　分かった。	コマリダ：「困ったことだ」にあたる表現として慣用的（深沢實氏の教示による）；ココイ：この場合の「ここ」は胸のあたりを指す。
88.76	94.04	ソーシタイバ　モモッタイヨーノ　コトドーッチェ　ココイラカ゜。　ハラノ　へン。	[soo]sita[i]ba [mo]moQtaijo[o]no [ko]todo[o]Qcje kokoira[ŋa. [ha]rano heɴ.	そうしたら　くすぐったいような　ことだって　この辺りが。　腹の　辺。	
94.54	100.48	オジーサンノ　テオ　コー　シテ　ミタイバ　ソコイ　シッポー　ツンダイテ　トリカ゜。	ozi[i]saɴno te[o] koo site mi[ta]iba [so]koi [si]Qpo[o] tuɴdai[te [to]riŋa.	お爺さんが　手を　こう　して　見ると　そこへ　尻尾を　出して　鳥が。	テオ　コー　シテ：具体的には「手を腹の辺りに出して」
101.425	107.175	マー　コカ゜ーノー　へソエ　{笑}　シッポー　ツンダイトーカ゜ト　オモッテ	ma[a [ko]ŋaano[o] hesoe {笑} [si]Qpo[o] tuɴdai[too]ŋato omoQ[te	まあ　こんな　臍に　{笑}　尻尾を　出したよと　思って	
107.74	111.18	コッカラ　コーオ　テオ　イレテ　ヒッパッタイバ	[ko]Qkara koo[o] te[o] irete [hi]QpaQ[ta]iba	ここから　こう　手を　入れて　引っ張ったら	コッカラ：臍から
112.37	118.61	ピピン　ピヨドリー　ゴヨノ　オタカラ　ピッサーヨーチテ	pi[piɴ] pi[jo]dorii go[jono otakara] piQ[sa]a[joo]cite	「ピピン　ピヨドリ　ゴヨノ　オタカラ　ピッサーヨー」と	
119.09	123.15	ソノ　ヨイ　コイデ　トリカ゜　ナイトーダケ゜ノーニ。	[so]no jo[i] koi[de] toriŋa naito[o]daŋeno[o]ni.	その　良い　声で　鳥が　鳴いたのだそうだよ。	ソノ：直前の「ピピン～ピッサーヨー」を指す。そのような良い声で、ぐらいの意（深沢實氏の教示による）。）
123.98	128.7	マー　コリャー　キタイダメシダ　コカ゜ン　コタート　オモッテ	ma[a] korja[a ki]taidamesi[da] koŋaɴ kota[a]to omoQ[te	「まあ　これは　奇妙なことだ　このような　ことは」と　思って	キタイダメシ：未詳だが「奇態試し」にあたるか。
128.95	134.95	マタ　インメー　タテバ　ソーット　コー　ヒッパッテ　マタ　マオナジニ	[ma]ta iɴmee tate[ba] so]oQto koo [hi]QpaQte [ma]ta [ma]onazi[ni	また　少し　経つと　そっと　こう　引っ張って　また　全く同じように	マオナジニ: マ は「真っ白」のマなどと同源の接頭辞だと思われる。
135.47	141.81	ピピン　ピヨドリー　ゴヨノ　オタカラ　ピッサーヨーッチャ　ナクドーッチェ。	pi[piɴ] pi[jo]dorii go[jono otakara] piQ[sa]a[joo]Qcja nakudo[o]Qcje.	「ピピン　ピヨドリ　ゴヨノ　オタカラ　ピッサーヨー」と　鳴くんだって。	
143.29	147.37	コンダー　オジーサンワ　ウレシク　ナッテ	ko[ɴ]daa ozi[i]saɴwa ure[si]ku naQ[te	今度は　おじいさんは　うれしく　なって	
148.55	151.58	フモトノ　ムライ　トビクダッテ	[hu]motono mura[i [to]bikudaQ[te	ふもとの　村に　走り下って	
152.695	157.935	ウラー　トリノ　ヒヨドリノ　ナキコ゚イオ　ウラー　ウッシルヨ。	[u]ra[a [to]rino [hi]jo[do]rino nakiŋoi[o] ura[a] uQ[si]rujo.	「私は　鳥の　ヒヨドリの　鳴き声を　私は　するよ。	ウッシル：ウツ uQ は「打ち」に由来する接頭辞。シルは「する」が一段化しつつある形で、否定形も従来のセノーのほかにシノーがある。。
158.035	162.405	ウソジャー　ナイヨッチェ　ムラン　ナカー　ホラー　フイテ　アリットードーッチェ。	u[so]zjaa na[i]joQcje [mu]raɴ na[ka]a ho[ra]a huite ariQ[to]odooQcje.	嘘じゃ　ないよ」と　村の　中を　ほらを　吹いて　歩いたのだって。	
163.16	168.45	コンダ　ムラジューシテ　サー　ナイテ　ミロ。　ホンマカー。　ナイテ　ミロッチチャー　イェーバ	ko[ɴ]da [mu]ra[zju]usite saa [na]ite mi[ro. [ho]ɴmakaa. [na]ite mi[ro]Qcicjaa je[e]ba	今度は　村中で　「さあ　鳴いてみろ。本当か。鳴いてみろ」と　言うと	
169.035	170.775	ソーット　コー	so[o]Qto koo	そっと　こう	
171.505	175.445	ハラノ　ウエー　テオ　シチャー　ソレオ　コー　シッポー　ヒッパレバ	[ha]rano uee te[o] sicja[a] soreo ko[o] siQpo[o] hiQpare[ba]	腹の　上に　手を　して　それを　こう　尻尾を　引っ張ると	シチャー：直訳は「して」だがここでは「（手を）置いて」の意。
175.965	183.345	ピピン　ピヨドリー　ゴヨノ　オタカラ　ピッサーヨーッチャ　ウント　ヨイ　コエデ　ナイテ	pi[piɴ] pi[jo]dorii go[jono otakara] piQ[sa]a[joo]Qcja u[ɴ]to jo[i] ko[e]de [naite	「ピピン　ピヨドリ　ゴヨノ　オタカラ　ピッサーヨー」と　とても　良い　声で　鳴いて	
183.725	187.36	ムラジューカ゜　マー　メヅラシー。	[mu]ra[zju]u[ŋa] ma[a] medurasi[i.	村中が　「まあ　珍しい。	
187.507	194.453	アノ　ジーサマー　トリノ　マオナシヨーニ　ナキコ゚エオ　ウッシルチュー　コター	[a]no ziisama[a [to]rino [ma]o[na]sijoo[ni] nakiŋoe[o] uQ[si]rucjuu kota[a]	あの　爺様は　鳥の　全く同じように　鳴き声を　するという　ことは	
194.813	198.373	キタイダメシダッチェ　コレ　ヒョーバンニ　ナットードーッチェ。	[ki]taidamesi[da]Qcje kore hjo[oba]ɴni naQ[to]odooQcje.	奇妙なことだ」と　これ　評判に　なったのだって。	
199.445	202.285	ソー　コー　シテータイバ　ソノ　ヒョーバンカ゜	[so]o ko[o] siteetaiba [so]no hjo[obaɴŋa	そう　こう　していると　その　評判が	
203.865	206.595	オトノサマノ　ミミー　ハイットードーッチェ。	[o]to[no]samano mimi[i] haiQ[to]odooQcje.	お殿様の　耳に　入ったのだって。	
208.035	209.295	ソーシテ　コンダー	[so]osite ko[ɴ]daa	そして　今度は	
210.075	211.285	モンドーッチェドーヨ	moɴ[do]oQcjedoo[jo	あれだそうだよ	
211.715	213.955	オジーサンワ　ヨビダサレテ	ozi[i]saɴwa [jo]bidasare[te	お爺さんは　呼び出されて	
214.973	220.753	オトノサマナンチュードーデ　イェードーヅラカ　ソードーッテ　ナンドーカ　ヨビダサレテ	oto[no]samana[ɴ]cjuudoode [je]edoo[du]ra[ka] soodooQ[te] na[ɴdooka [jo]bidasare[te	お殿様などというので　江戸だろうか　そうだって　何だか　呼び出されて	
222.56	224.685	ソシテ　セ　オマエワ	[so]site se [o]maewa	そして　（セ）　「お前は	オマエ：奈良田方言の一般的な2人称代名詞ではない。
225.795	229.375	トリト　オナジニ　ナクドーチュージャー　ナイカ。	[to]rito onazi[ni] nakudo[o]cjuuzja[a] na[i]ka.	鳥と　同じに　鳴くのだというでは　ないか。	
229.605	233.42	サー　ココデ　ナイテ　ミロッチェ　トノサマノ　イットー。	sa[a] kokode [na]ite mi[ro]Qcje [to]no[sa]mano iQtoo.	さあ　ここで　鳴いて　みろ」と　殿様が　言った。	ミロッチェ：ミロとッチェの間にポーズあり。
233.815	237.29	コノ　マタ　ソーット　{笑}	kono [ma]ta [sooQ]to {笑}	この　また　そっと　{笑}	
237.729	239.95	ハネオ　ヒッパットーヨ　ワカラノーヨーニ　シテ。	[ha]neo hiQpaQ[too]jo wakara[no]ojooni site.	羽を　ひっぱったよ　分からないように　して。	
240.03	240.62	ソーシタイバ	[so]ositaiba	そうすると	
241.435	245.555	ソノ　ヨ　イママデニャー　ナイ　ヨイ　コイデ	[so]no jo [i]mama[de]njaa na[i] jo[i] ko[i]de	その　（ヨ）　今までには　ない　良い　声で	（ヨ）：少し後のヨイ（良い）を言いかけて言いさしたものと思われる。
246.075	251.17	ピピン　ピヨドリー　ゴヨノ　オタカラ　ピッサーヨーッチャ	pi[piɴ] pi[jo]dorii go[jono otakara] piQ[sa]a[joo]Qcja	「ピピン　ピヨドリ　ゴヨノ　オタカラ　ピッサーヨー」と	
251.33	255.86	イクド　ヒッパッテモ　ソーユーヨーニ　ナイトードーッチェ。	i[ku]do [hi]QpaQte[mo] soojuujoo[ni] naito[o]dooQcje.	何度　引っ張っても　そういうように　鳴いたのだって。	
256.42	261.746	サー　ク　トノサマノ　テオ　タタイテ　ウレシカ゜ッテ	sa[a] ku [to]nosama[no] te[o] tatai[te] u]resiŋaQte	さあ　（ク）　殿様が　手を　叩いて　うれしがって	
262.86	272.07	マー　ソ　コカ゜ーノー　トリト　オナジ　ヨーノ　コイデ　ナクワ　フシキ゜デ　メヅラシーッチェ　モンドーッチェドーヨ	ma[a] so [ko]ŋaano[o] torito ona[zi] jo[o]no ko[i]de naku[[wa] husiŋi[de] medurasi[i]Qcje moɴ[do]oQcjedoo[jo	「まあ　（ソ）　このような　鳥と　同じ　ような　声で　鳴く［の］は　不思議で　珍しいって　あれだそうだよ	
273.325	277.73	オモイデ　ガイニ　ソノ　コロノ　ナンチューヅラ	[o]moide ga[i]ni sono korono na[ɴ]cjuudu[ra	とても　たくさん　その　頃の　何というのだろう	
278.12	283.33	リヤカーノヨーノ　モノ　イッパイ　ホービョー　クレトードーッチェ。	[ri]jakaanojo[o]no mono [i]Qpai [ho]objoo [ku]retoodooQ[cje.	リヤカーのような　もの　いっぱい　褒美を　くれたのだって。	
283.785	289.255	ソリョー　モッテ　ムライ　カイッテ　キテ　ムライモ　クバッタリ　コンダ	[so]rjoo moQ[te] mura[i] kaiQ[te] ki[te] mura[i]mo kubaQ[ta]ri ko[ɴda]	それを　持って　村に　帰って　来て　村にも　配ったり　今度は	
289.78	298.92	オジーサント　オバーサンワ　イッショー　コマラデ　モンドーッチェドーヨ　シャーセニ　クライトードーッチェドーヨ。	ozi[i]saɴto oba[a]saɴwa [i]Qsjo[o] komarade moɴ[do]oQcjedoo[jo [sja]ase[ni] kuraitoo[do]oQcjedoo[[jo.	お爺さんと　お婆さんは　一生　困らないで　あれだそうだよ　幸せに　暮らしたのだそうだよ。	オジーサント：オジーサンとトの間に少し間がある。
299.18	300.68	ソレデ　シッチマイ。	[so]rede siQci[mai.	それで　おしまい。	
301.395	305.525	{笑}	{笑}	{笑}	調査者の拍手と「ありがとうございました。」
